target_id	length	eff_length	est_counts	tpm
SOAP.k35.scaffold106	7265	7039.76	136.263	1.99958
SOAP.k35.scaffold122	4067	3841.76	137	3.68392
SOAP.k35.scaffold175	4010	3784.76	225.882	6.16542
SOAP.k35.scaffold280	4109	3883.76	4279	113.818
SOAP.k35.scaffold421	2148	1922.76	1	0.0537272
SOAP.k35.scaffold429	5119	4893.76	238.571	5.03611
SOAP.k35.scaffold503	5658	5432.76	309	5.87567
SOAP.k35.scaffold548	1432	1206.76	4	0.342419
SOAP.k35.scaffold599	9939	9713.76	2798	29.7564
SOAP.k35.scaffold700	4768	4542.76	3704	84.2308
SOAP.k35.scaffold874	2524	2298.76	7	0.314575
SOAP.k35.scaffold912	2862	2636.76	728.858	28.5556
SOAP.k35.scaffold1384	5546	5320.76	2	0.0388308
SOAP.k35.scaffold1794	8063	7837.76	171073	2254.8
SOAP.k35.scaffold1839	2304	2078.76	13.9015	0.690836
SOAP.k35.scaffold2305	726	501.453	49	10.0945
SOAP.k35.scaffold2387	249	83.3872	0	0
SOAP.k35.scaffold2446	5402	5176.76	14	0.279376
SOAP.k35.scaffold2718	3759	3533.76	204	5.96366
SOAP.k35.scaffold2779	651	427.892	0	0
SOAP.k35.scaffold2855	5016	4790.76	9	0.19407
SOAP.k35.scaffold2860	1450	1224.76	0	0
SOAP.k35.scaffold2964	3622	3396.76	6	0.182476
SOAP.k35.scaffold3525	2790	2564.76	202	8.13624
SOAP.k35.scaffold3799	8483	8257.76	2169	27.1342
SOAP.k35.scaffold3887	1559	1333.76	492	38.1071
SOAP.k35.scaffold3972	4636	4410.76	16	0.374737
SOAP.k35.scaffold3985	3707	3481.76	1	0.0296702
SOAP.k35.scaffold4079	9072	8846.76	10039	117.227
SOAP.k35.scaffold4083	5616	5390.76	12	0.229959
SOAP.k35.scaffold4098	3033	2807.76	2	0.073585
SOAP.k35.scaffold4146	1512	1286.76	2	0.160565
SOAP.k35.scaffold4373	3129	2903.76	0	0
SOAP.k35.scaffold4534	3258	3032.76	4.00146	0.136301
SOAP.k35.scaffold4811	2368	2142.76	13	0.626742
SOAP.k35.scaffold4849	3668	3442.76	7	0.210044
SOAP.k35.scaffold4910	5377	5151.76	1099	22.0375
SOAP.k35.scaffold5014	5826	5600.76	1167	21.525
SOAP.k35.scaffold5134	443	233.714	0	0
SOAP.k35.scaffold5534	1511	1285.76	6	0.48207
SOAP.k35.scaffold5571	7426	7200.76	1625	23.3128
SOAP.k35.scaffold5849	4242	4016.76	451	11.599
SOAP.k35.scaffold5953	2500	2274.76	16	0.726614
SOAP.k35.scaffold6259	8587	8361.76	185	2.28557
SOAP.k35.scaffold6465	4018	3792.76	33	0.898831
SOAP.k35.scaffold6507	4024	3798.76	3900	106.058
SOAP.k35.scaffold7058	1598	1372.76	36	2.70911
SOAP.k35.scaffold7548	344	152.209	0	0
SOAP.k35.scaffold7872	9319	9093.76	5	0.0567997
SOAP.k35.scaffold7953	5413	5187.76	0	0
SOAP.k35.scaffold8120	1224	998.764	170	17.5835
SOAP.k35.scaffold8450	4223	3997.76	1393	35.996
SOAP.k35.scaffold8704	416	210.622	0	0
SOAP.k35.scaffold8745	4620	4394.76	279.119	6.56105
SOAP.k35.scaffold8795	11268	11042.8	569.45	5.32718
SOAP.k35.scaffold8849	2507	2281.76	559	25.3082
SOAP.k35.scaffold8991	1905	1679.76	0	0
SOAP.k35.scaffold9115	1869	1643.76	300	18.8539
SOAP.k35.scaffold9247	5067	4841.76	9160.01	195.439
SOAP.k35.scaffold9271	348	155.36	5	3.32469
SOAP.k35.scaffold9807	2753	2527.76	1485	60.689
SOAP.k35.scaffold9912	1407	1181.76	0	0
SOAP.k35.scaffold9927	927	701.836	0	0
SOAP.k35.scaffold9991	1206	980.764	1216	128.082
SOAP.k35.scaffold10050	1074	848.764	281	34.201
SOAP.k35.scaffold10108	5156	4930.76	48	1.00565
SOAP.k35.scaffold10324	1164	938.764	0	0
SOAP.k35.scaffold10325	2571	2345.76	2	0.0880776
SOAP.k35.scaffold10364	2960	2734.76	998	37.6991
SOAP.k35.scaffold10526	1558	1332.76	23	1.78277
SOAP.k35.scaffold10662	319	132.851	0	0
SOAP.k35.scaffold10664	295	114.826	2	1.79933
SOAP.k35.scaffold10806	4896	4670.76	89.178	1.97238
SOAP.k35.scaffold10985	4195	3969.76	0	0
SOAP.k35.scaffold11282	2912	2686.76	832	31.99
SOAP.k35.scaffold11314	2092	1866.76	1	0.0553389
SOAP.k35.scaffold11417	1629	1403.76	30766	2264.11
SOAP.k35.scaffold11465	2982	2756.76	6	0.224839
SOAP.k35.scaffold11619	3380	3154.76	244	7.98993
SOAP.k35.scaffold11797	3219	2993.76	677	23.361
SOAP.k35.scaffold11836	2496	2270.76	2599	118.237
