target_id	length	eff_length	est_counts	tpm
SOAP.k35.scaffold106	7265	7055.38	126.173	2.00507
SOAP.k35.scaffold122	4067	3857.38	124	3.60422
SOAP.k35.scaffold175	4010	3800.38	283	8.34914
SOAP.k35.scaffold280	4109	3899.38	3979	114.409
SOAP.k35.scaffold421	2148	1938.38	6	0.347052
SOAP.k35.scaffold429	5119	4909.38	383.907	8.76763
SOAP.k35.scaffold503	5658	5448.38	419	8.62241
SOAP.k35.scaffold548	1432	1222.38	1	0.0917226
SOAP.k35.scaffold599	9939	9729.38	2631	30.3192
SOAP.k35.scaffold700	4768	4558.38	2968	73.0021
SOAP.k35.scaffold874	2524	2314.38	4	0.193779
SOAP.k35.scaffold912	2862	2652.38	741.858	31.3594
SOAP.k35.scaffold1384	5546	5336.38	5	0.105052
SOAP.k35.scaffold1794	8063	7853.38	170736	2437.53
SOAP.k35.scaffold1839	2304	2094.38	3.31457	0.177441
SOAP.k35.scaffold2305	726	517.119	1	0.216816
SOAP.k35.scaffold2387	249	89.6017	0	0
SOAP.k35.scaffold2446	5402	5192.38	9	0.194338
SOAP.k35.scaffold2718	3759	3549.38	133	4.20128
SOAP.k35.scaffold2779	651	443.21	0	0
SOAP.k35.scaffold2855	5016	4806.38	7	0.163291
SOAP.k35.scaffold2860	1450	1240.38	0	0
SOAP.k35.scaffold2964	3622	3412.38	6	0.197141
SOAP.k35.scaffold3525	2790	2580.38	201	8.73363
SOAP.k35.scaffold3799	8483	8273.38	1114	15.0968
SOAP.k35.scaffold3887	1559	1349.38	556	46.198
SOAP.k35.scaffold3972	4636	4426.38	14	0.354619
SOAP.k35.scaffold3985	3707	3497.38	0	0
SOAP.k35.scaffold4079	9072	8862.38	10166	128.612
SOAP.k35.scaffold4083	5616	5406.38	5	0.103692
SOAP.k35.scaffold4098	3033	2823.38	1.0089	0.0400646
SOAP.k35.scaffold4146	1512	1302.38	1	0.0860885
SOAP.k35.scaffold4373	3129	2919.38	0	0
SOAP.k35.scaffold4534	3258	3048.38	7	0.257461
SOAP.k35.scaffold4811	2368	2158.38	12	0.623355
SOAP.k35.scaffold4849	3668	3458.38	0	0
SOAP.k35.scaffold4910	5377	5167.38	869	18.8552
SOAP.k35.scaffold5014	5826	5616.38	1100	21.9593
SOAP.k35.scaffold5134	443	247.65	0	0
SOAP.k35.scaffold5534	1511	1301.38	15	1.29232
SOAP.k35.scaffold5571	7426	7216.38	1749	27.1739
SOAP.k35.scaffold5849	4242	4032.38	351	9.75951
SOAP.k35.scaffold5953	2500	2290.38	12	0.58743
SOAP.k35.scaffold6259	8587	8377.38	238	3.1853
SOAP.k35.scaffold6465	4018	3808.38	39	1.14817
SOAP.k35.scaffold6507	4024	3814.38	3506.98	103.084
SOAP.k35.scaffold7058	1598	1388.38	24	1.93814
SOAP.k35.scaffold7548	344	162.131	0	0
SOAP.k35.scaffold7872	9319	9109.38	7	0.0861571
SOAP.k35.scaffold7953	5413	5203.38	1	0.0215475
SOAP.k35.scaffold8120	1224	1014.38	141	15.5848
SOAP.k35.scaffold8450	4223	4013.38	888	24.8076
SOAP.k35.scaffold8704	416	223.863	0	0
SOAP.k35.scaffold8745	4620	4410.38	260.802	6.63005
SOAP.k35.scaffold8795	11268	11058.4	718.261	7.28237
SOAP.k35.scaffold8849	2507	2297.38	538	26.2562
SOAP.k35.scaffold8991	1905	1695.38	0	0
SOAP.k35.scaffold9115	1869	1659.38	275	18.581
SOAP.k35.scaffold9247	5067	4857.38	9268.5	213.939
SOAP.k35.scaffold9271	348	165.494	1	0.677485
SOAP.k35.scaffold9807	2753	2543.38	1881	82.9201
SOAP.k35.scaffold9912	1407	1197.38	0	0
SOAP.k35.scaffold9927	927	717.378	0	0
SOAP.k35.scaffold9991	1206	996.378	1544	173.742
SOAP.k35.scaffold10050	1074	864.378	267	34.633
SOAP.k35.scaffold10108	5156	4946.38	87	1.97203
SOAP.k35.scaffold10324	1164	954.378	0	0
SOAP.k35.scaffold10325	2571	2361.38	1	0.0474806
SOAP.k35.scaffold10364	2960	2750.38	725	29.5548
SOAP.k35.scaffold10526	1558	1348.38	14	1.16412
SOAP.k35.scaffold10662	319	141.82	0	0
SOAP.k35.scaffold10664	295	123.235	0	0
SOAP.k35.scaffold10806	4896	4686.38	120.431	2.88126
SOAP.k35.scaffold10985	4195	3985.38	2.94207	0.0827686
SOAP.k35.scaffold11282	2912	2702.38	732	30.3702
SOAP.k35.scaffold11314	2092	1882.38	2	0.119126
SOAP.k35.scaffold11417	1629	1419.38	40254	3179.75
SOAP.k35.scaffold11465	2982	2772.38	10	0.404417
SOAP.k35.scaffold11619	3380	3170.38	303	10.7155
SOAP.k35.scaffold11797	3219	3009.38	778	28.9858
SOAP.k35.scaffold11836	2496	2286.38	2392	117.299
SOAP.k35.scaffold11951	3737	3527.38	477.671	15.183
SOAP.k35.scaffold12072	433	238.869	205	96.2222
SOAP.k35.scaffold12084	1151	941.378	629	74.915
SOAP.k35.scaffold12282	4077	3867.38	2942	85.2919
SOAP.k35.scaffold12348	7078	6868.38	29	0.473397
SOAP.k35.scaffold12509	1188	978.378	0	0
SOAP.k35.scaffold12730	2402	2192.38	1126	57.5844
SOAP.k35.scaffold12807	732	523.119	0	0
SOAP.k35.scaffold12869	2760	2550.38	0	0
SOAP.k35.scaffold12878	3306	3096.38	384	13.9046
SOAP.k35.scaffold13135	5341	5131.38	19	0.415147
SOAP.k35.scaffold13170	1774	1564.38	232	16.6276
SOAP.k35.scaffold13312	2574	2364.38	5	0.237102
SOAP.k35.scaffold13498	3713	3503.38	1921	61.4784
SOAP.k35.scaffold13553	2647	2437.38	0	0
SOAP.k35.scaffold13596	6949	6739.38	1	0.0166365
SOAP.k35.scaffold13613	460	262.843	0	0
SOAP.k35.scaffold13737	4838	4628.38	763	18.4832
SOAP.k35.scaffold13773	1888	1678.38	8	0.534419
SOAP.k35.scaffold13828	2566	2356.38	0	0
SOAP.k35.scaffold14071	762	552.848	0	0
SOAP.k35.scaffold14279	2538	2328.38	3.02718	0.14577
SOAP.k35.scaffold14416	4282	4072.38	12.2669	0.33773
SOAP.k35.scaffold14453	1942	1732.38	2	0.12944
SOAP.k35.scaffold14571	3106	2896.38	27.2739	1.05578
SOAP.k35.scaffold14905	8238	8028.38	925.719	12.9281
SOAP.k35.scaffold14928	3523	3313.38	5	0.169192
SOAP.k35.scaffold15024	1309	1099.38	6	0.611908
SOAP.k35.scaffold15706	940	730.378	21.0679	3.23412
SOAP.k35.scaffold15753	727	518.119	553	119.668
SOAP.k35.scaffold15848	2648	2438.38	212	9.74803
SOAP.k35.scaffold16115	4490	4280.38	148	3.87669
SOAP.k35.scaffold16414	2673	2463.38	3	0.136544
SOAP.k35.scaffold16485	1214	1004.38	6	0.669786
SOAP.k35.scaffold16551	2332	2122.38	2861	151.139
SOAP.k35.scaffold16578	4551	4341.38	214.051	5.52805
SOAP.k35.scaffold16587	2071	1861.38	1	0.0602348
SOAP.k35.scaffold16592	1612	1402.38	0	0
SOAP.k35.scaffold16991	3073	2863.38	1233	48.2799
SOAP.k35.scaffold17013	302	128.487	1	0.872614
SOAP.k35.scaffold17212	1043	833.378	508	68.3445
SOAP.k35.scaffold17314	1504	1294.38	13	1.12607
SOAP.k35.scaffold17446	11316	11106.4	9.03449	0.0912039
SOAP.k35.scaffold17656	3571	3361.38	24	0.800527
SOAP.k35.scaffold17728	2421	2211.38	452	22.917
SOAP.k35.scaffold17796	1589	1379.38	0	0
SOAP.k35.scaffold17814	1078	868.378	31	4.00253
SOAP.k35.scaffold18013	5093	4883.38	13	0.298473
SOAP.k35.scaffold18488	1621	1411.38	0	0
SOAP.k35.scaffold18548	3032	2822.38	1	0.0397253
SOAP.k35.scaffold18750	1440	1230.38	0	0
SOAP.k35.scaffold18798	5221	5011.38	750	16.7798
SOAP.k35.scaffold18955	4412	4202.38	260	6.93682
SOAP.k35.scaffold18969	1247	1037.38	1	0.10808
SOAP.k35.scaffold19043	3867	3657.38	5	0.153279
SOAP.k35.scaffold19075	768	558.792	0	0
SOAP.k35.scaffold19199	1136	926.378	7	0.847211
SOAP.k35.scaffold19321	5286	5076.38	45	0.993895
SOAP.k35.scaffold19688	2194	1984.38	141	7.96667
SOAP.k35.scaffold19737	4459	4249.38	0	0
SOAP.k35.scaffold19933	3745	3535.38	5314	168.526
SOAP.k35.scaffold19987	696	487.421	1	0.230026
SOAP.k35.scaffold19997	3599	3389.38	0	0
SOAP.k35.scaffold20492	3939	3729.38	3326	99.9926
SOAP.k35.scaffold20897	2171	1961.38	57.4685	3.28511
SOAP.k35.scaffold20987	5560	5350.38	2	0.041911
SOAP.k35.scaffold21123	1978	1768.38	668	42.3529
SOAP.k35.scaffold21278	1030	820.378	6373	870.988
SOAP.k35.scaffold21342	593	386.99	0	0
SOAP.k35.scaffold21358	980	770.378	326	47.4456
SOAP.k35.scaffold21383	843	633.378	2	0.354037
SOAP.k35.scaffold21446	1487	1277.38	190.31	16.7041
SOAP.k35.scaffold21504	3585	3375.38	5343	177.478
SOAP.k35.scaffold21678	1864	1654.38	0	0
SOAP.k35.scaffold21754	1024	814.378	193.88	26.6926
SOAP.k35.scaffold21886	474	275.509	0	0
SOAP.k35.scaffold22035	5119	4909.38	19	0.433919
SOAP.k35.scaffold22089	1572	1362.38	17	1.39905
SOAP.k35.scaffold22107	2487	2277.38	4.86618	0.239571
SOAP.k35.scaffold22260	1916	1706.38	51	3.35102
SOAP.k35.scaffold22341	3255	3045.38	3	0.110449
SOAP.k35.scaffold22876	1021	811.378	0	0
SOAP.k35.scaffold22975	810	600.502	32.4258	6.05422
SOAP.k35.scaffold22997	2919	2709.38	312.587	12.9355
SOAP.k35.scaffold23141	607	400.395	0	0
SOAP.k35.scaffold23153	3870	3660.38	35	1.07207
SOAP.k35.scaffold23204	7272	7062.38	504.04	8.00196
SOAP.k35.scaffold23484	1669	1459.38	13	0.998752
SOAP.k35.scaffold23495	404	213.369	0	0
SOAP.k35.scaffold23515	2894	2684.38	5	0.208837
SOAP.k35.scaffold23620	1639	1429.38	0	0
SOAP.k35.scaffold23637	6532	6322.38	13.3624	0.236966
SOAP.k35.scaffold23710	3014	2804.38	137	5.47729
SOAP.k35.scaffold23728	2111	1901.38	1.00054	0.0589997
SOAP.k35.scaffold23852	2284	2074.38	641	34.6459
SOAP.k35.scaffold23882	2431	2221.38	16	0.807569
SOAP.k35.scaffold23918	3413	3203.38	0	0
SOAP.k35.scaffold24133	2247	2037.38	0	0
SOAP.k35.scaffold24164	469	271.016	8	3.30961
SOAP.k35.scaffold24190	3459	3249.38	17	0.586585
SOAP.k35.scaffold24272	488	288.293	16	6.22254
SOAP.k35.scaffold24308	355	171.468	0	0
SOAP.k35.scaffold24360	5877	5667.38	463	9.15969
SOAP.k35.scaffold24508	733	524.119	0	0
SOAP.k35.scaffold24554	2262	2052.38	1325	72.3837
SOAP.k35.scaffold24655	2409	2199.38	8.65817	0.441375
SOAP.k35.scaffold24741	2906	2696.38	920	38.2551
SOAP.k35.scaffold24802	2152	1942.38	104	6.00318
SOAP.k35.scaffold24807	1237	1027.38	1	0.109132
SOAP.k35.scaffold25094	2466	2256.38	0	0
SOAP.k35.scaffold25134	2237	2027.38	6	0.331817
SOAP.k35.scaffold25191	340	158.921	1	0.705505
SOAP.k35.scaffold25240	627	419.861	5	1.3352
SOAP.k35.scaffold25288	5380	5170.38	2479	53.7571
SOAP.k35.scaffold25309	1642	1432.38	1102	86.2593
SOAP.k35.scaffold25375	5982	5772.38	6	0.116541
SOAP.k35.scaffold25392	5218	5008.38	188.814	4.22687
SOAP.k35.scaffold25446	3375	3165.38	1	0.0354206
SOAP.k35.scaffold25501	384	196.16	0	0
SOAP.k35.scaffold25563	1742	1532.38	0	0
SOAP.k35.scaffold25626	3780	3570.38	32	1.00489
SOAP.k35.scaffold25664	874	664.378	0	0
SOAP.k35.scaffold25678	1254	1044.38	171	18.3578
SOAP.k35.scaffold25717	2904	2694.38	26	1.08192
SOAP.k35.scaffold25926	2812	2602.38	1949.38	83.9861
SOAP.k35.scaffold26017	1346	1136.38	5754	567.713
SOAP.k35.scaffold26086	3603	3393.38	2	0.0660815
SOAP.k35.scaffold26111	4190	3980.38	589.217	16.5971
SOAP.k35.scaffold26250	3334	3124.38	6102	218.973
SOAP.k35.scaffold26516	4686	4476.38	896	22.4421
SOAP.k35.scaffold26564	374	187.426	22	13.1605
SOAP.k35.scaffold26726	6359	6149.38	254	4.6311
SOAP.k35.scaffold26946	1201	991.378	2	0.22619
SOAP.k35.scaffold26974	3493	3283.38	8	0.273181
SOAP.k35.scaffold27085	5443	5233.38	349	7.47696
SOAP.k35.scaffold27090	4328	4118.38	4337.92	118.096
SOAP.k35.scaffold27146	745	536.065	10	2.09153
SOAP.k35.scaffold27149	1478	1268.38	569	50.2974
SOAP.k35.scaffold27160	805	595.562	1	0.188259
SOAP.k35.scaffold27258	2003	1793.38	1	0.0625187
SOAP.k35.scaffold27368	334	153.816	2	1.45784
SOAP.k35.scaffold27493	4201	3991.38	560.028	15.7315
SOAP.k35.scaffold27718	4737	4527.38	10.0299	0.248388
SOAP.k35.scaffold28035	2253	2043.38	2	0.10974
SOAP.k35.scaffold28037	625	417.861	95	25.4903
SOAP.k35.scaffold28138	1629	1419.38	0	0
SOAP.k35.scaffold28189	3449	3239.38	438	15.1598
SOAP.k35.scaffold28259	809	599.502	2	0.374043
SOAP.k35.scaffold28409	2462	2252.38	1800	89.6011
SOAP.k35.scaffold28687	761	551.848	10	2.03171
SOAP.k35.scaffold28722	1447	1237.38	547	49.5641
SOAP.k35.scaffold28818	382	194.455	0	0
SOAP.k35.scaffold28982	2056	1846.38	4	0.242897
SOAP.k35.scaffold29000	1343	1133.38	1	0.0989253
SOAP.k35.scaffold29060	2742	2532.38	4	0.177098
SOAP.k35.scaffold29091	3126	2916.38	2	0.0768897
SOAP.k35.scaffold29098	1751	1541.38	1	0.0727399
SOAP.k35.scaffold29161	1196	986.378	0	0
SOAP.k35.scaffold29209	3485	3275.38	21	0.718853
SOAP.k35.scaffold29268	1924	1714.38	1138	74.4248
SOAP.k35.scaffold29403	2537	2327.38	116	5.58821
SOAP.k35.scaffold29418	709	500.273	2	0.448234
SOAP.k35.scaffold29653	2321	2111.38	1.04173	0.0553187
SOAP.k35.scaffold29680	1212	1002.38	3	0.335561
SOAP.k35.scaffold29718	5147	4937.38	3	0.0681251
SOAP.k35.scaffold29741	679	470.802	2	0.476292
SOAP.k35.scaffold29816	1405	1195.38	16596.8	1556.69
SOAP.k35.scaffold30036	1684	1474.38	2	0.152091
SOAP.k35.scaffold30082	2633	2423.38	0	0
SOAP.k35.scaffold30110	4464	4254.38	310	8.16973
